Date	Open	High	Low	Close	Adj Close	Volume
21/10/08	83.580002	88	80.400002	87.199997	80.987862	1158575
22/10/08	85	86.800003	83.769997	84.050003	78.062256	464545
23/10/08	80.459999	83	78.029999	81.059998	75.285271	479700
24/10/08	79.599998	80.940002	72.230003	75.080002	69.7313	3025520
27/10/08	75	75.580002	64.300003	68.050003	63.20211	1312395
29/10/08	74.940002	75.599998	67.629997	68.529999	63.647911	579595
31/10/08	71.400002	73	69.830002	71.580002	66.480621	1136485
03/11/08	74.199997	74.599998	70.400002	71.07	66.006966	2177680
04/11/08	71.400002	71.400002	68	69.459999	64.511665	2131475
05/11/08	72	73.779999	70.480003	70.949997	65.895508	1822980
06/11/08	66.25	71.699997	66.25	69.660004	64.697403	842820
07/11/08	69.599998	70.199997	67.510002	68.230003	63.369267	1050820
10/11/08	69.790001	70.580002	68.110001	68.650002	63.75938	869315
11/11/08	69	72	68.220001	69.25	64.316612	1457725
12/11/08	69.800003	69.800003	67	67.910004	63.072079	946550
14/11/08	68.440002	70.199997	64	64.57	59.97002	664950
17/11/08	65.449997	67.360001	63.209999	65.889999	61.195988	1305975
18/11/08	65	65.559998	63.52	64.959999	60.332233	396850
19/11/08	64.839996	66.370003	60.639999	61.959999	57.545959	389810
20/11/08	61.959999	61.959999	61.959999	61.959999	57.545959	0
21/11/08	58	58.779999	55	57.130001	53.060051	586155
24/11/08	57.599998	58	55.200001	56.18	52.177731	991255
25/11/08	57.200001	57.98	54.41	55.080002	51.156101	529480
26/11/08	55.240002	55.939999	53	53.689999	49.865116	438245
27/11/08	53.689999	53.689999	53.689999	53.689999	49.865116	0
28/11/08	53.400002	53.400002	51.200001	51.59	47.914722	347390
01/12/08	51.400002	55	51	53.130001	49.345013	698365
02/12/08	51.599998	52.509998	50.73	51.889999	48.193348	568195
03/12/08	52.220001	53.990002	51.849998	52.509998	48.769184	372925
04/12/08	52.439999	54.400002	52.439999	54.060001	50.208755	378270
05/12/08	54.43	56.34	53.040001	53.880001	50.041576	342500
08/12/08	55.009998	56.400002	52.630001	53.049999	49.270702	352125
10/12/08	53.310001	56.779999	53.200001	55.880001	51.899101	1937505
11/12/08	56.889999	59.290001	56.060001	56.849998	52.799988	1245975
12/12/08	56	57.779999	54.400002	56.529999	52.5028	466565
15/12/08	58.799999	60.380001	57.200001	58.639999	54.462479	955645
16/12/08	58.599998	65.580002	58.580002	64.209999	59.635662	2245155
17/12/08	65.5	69.220001	60.419998	61.549999	57.165176	3430170
18/12/08	63	63.939999	61.009998	62.880001	58.400425	1010580
19/12/08	63.200001	65.440002	62.200001	64.110001	59.542801	1156945
22/12/08	64.400002	65.199997	62	62.34	57.898895	500665
23/12/08	61.599998	63.759998	60.220001	61.93	57.518097	788775
24/12/08	61.02	63.599998	61.02	62.560001	58.103214	663115
26/12/08	62.700001	63.389999	60.599998	61.09	56.737942	340495
29/12/08	62	63.799999	60.400002	63.150002	58.65118	395420
30/12/08	65.160004	67	62.619999	63.939999	59.384899	579400
31/12/08	64.599998	65.940002	64.599998	65.059998	60.425114	656370
02/01/09	67.300003	68.940002	65.800003	66.25	61.530327	845745
05/01/09	67.059998	79	66.599998	78.080002	72.517586	7391260
06/01/09	79.400002	81.779999	76.050003	79.040001	73.409187	6701300
07/01/09	80	81.379997	69.419998	70.410004	65.393982	3134815
09/01/09	69.129997	72.800003	63.610001	67.599998	62.784164	1145965
12/01/09	68.599998	76.459999	68.599998	73.970001	68.700356	4197475
13/01/09	74.599998	74.800003	65.720001	69.949997	64.966759	3005700
14/01/09	73	77.900002	72.269997	76.949997	71.468079	2716150
15/01/09	76	76	72.199997	74.620003	69.304054	1308450
16/01/09	75	77	73.400002	75.089996	69.740585	1114925
19/01/09	75.940002	75.940002	72.019997	72.540001	67.372238	736710
20/01/09	72	76.5	70.400002	75.010002	69.666283	2351065
21/01/09	74	75	70.629997	71.309998	66.229866	812250
22/01/09	72.800003	74.339996	70.82	73.82	68.561043	775160
23/01/09	73.82	74.580002	71.82	72.779999	67.595146	1450025
27/01/09	74	76	73.599998	75.139999	69.787025	669085
28/01/09	76.199997	79.339996	75.599998	78.910004	73.288437	1065380
29/01/09	80	80.400002	76	76.290001	70.85508	602255
30/01/09	75.300003	80.599998	75.300003	77.230003	71.728119	2848685
02/02/09	77.980003	80.400002	76.599998	77.919998	72.368965	1660110
03/02/09	78.400002	79.379997	76	76.120003	70.697205	649825
04/02/09	77	77.790001	73.400002	73.709999	68.458878	1535480
05/02/09	74.400002	74.400002	72.620003	73.580002	68.338165	1002950
06/02/09	74.400002	75.900002	74	75.040001	69.69413	1224575
09/02/09	75.110001	77.5	75.07	77.099998	71.607376	887920
10/02/09	77.199997	80.599998	74.800003	75.290001	69.926323	1699745
11/02/09	74.800003	75.599998	73	74.32	69.025421	610650
12/02/09	74.239998	75.940002	73.199997	73.480003	68.245277	955890
13/02/09	74.599998	75.599998	73.309998	73.660004	68.41246	794180
16/02/09	74.540001	74.540001	71.349998	71.709999	66.601364	756460
17/02/09	71	71.400002	68.800003	69.190002	64.260918	455565
18/02/09	68	69.339996	66.599998	66.830002	62.429939	615345
19/02/09	66.800003	71.339996	66.400002	70.400002	65.764908	2367930
20/02/09	69.599998	72.300003	69.400002	70.25	65.624779	1852180
24/02/09	68.309998	71.800003	68.309998	69.239998	64.681267	1219910
25/02/09	70.400002	70.800003	68.599998	69.050003	64.503777	1152375
26/02/09	68.760002	69.760002	68	69.019997	64.475754	1079160
27/02/09	68.25	69.32	67.459999	68.330002	63.831196	1957565
02/03/09	66.660004	67.889999	61.400002	63.27	59.104332	2292915
03/03/09	60.240002	63.330002	60.240002	61.32	57.282715	631700
04/03/09	61.029999	63.799999	58.25	62.799999	58.665268	2346270
05/03/09	60.639999	63.98	60.099998	62.16	58.06741	975945
06/03/09	60.299999	62.450001	60.299999	61.959999	57.880573	687510
09/03/09	61.080002	62.68	59	59.580002	55.657272	493665
12/03/09	60.57	60.900002	58.849998	59.580002	55.657272	730430
13/03/09	60.200001	62.880001	60.200001	62.34	58.235561	657630
16/03/09	62.599998	63.279999	61.619999	62.439999	58.328976	435695
17/03/09	62.599998	65.199997	61.700001	62.07	57.983334	1134420
18/03/09	62.599998	66.400002	62.599998	65.32	61.019348	1452240
19/03/09	65.599998	66.879997	62.200001	62.529999	58.413048	1293020
20/03/09	61.27	64.379997	61.27	62.860001	58.721317	732710
23/03/09	63	65.18	63	64.43	60.187954	892205
24/03/09	65	66.199997	62.599998	62.860001	58.721317	1041025
25/03/09	63	65.190002	62.799999	64.839996	60.570961	609980
26/03/09	65	66.550003	63.529999	64.32	60.08519	830860
27/03/09	58	65.370003	58	61.630001	57.572308	46210690
30/03/09	64.199997	65.300003	60.619999	63.619999	59.431282	3605440
31/03/09	63.82	65.599998	63.650002	64.660004	60.402805	1915045
01/04/09	64.660004	69.349998	64.660004	68.160004	63.672371	9438590
02/04/09	69.980003	71	68.449997	69.449997	64.877441	6387430
06/04/09	71	78.209999	70.019997	77.029999	71.958366	7880855
08/04/09	74.68	74.68	71.720001	73.129997	68.315132	3557795
09/04/09	74.879997	77.779999	74.019997	75.660004	70.678574	4646875
13/04/09	77	77.980003	75.07	76.019997	71.014862	1438090
15/04/09	75	81.790001	73.610001	79.940002	74.676781	5416915
16/04/09	77.059998	83.029999	74.050003	76.040001	71.033546	3053720
